Date,GDPC1,DGS2Y,DGS5Y,DGS10Y,DGS30Y
1963-10-31,3771.845,0.0,3.9695652173913047,4.1060869565217395,0.0
1963-11-30,3771.845,0.0,4.01235294117647,4.121764705882352,0.0
1963-12-31,3771.845,0.0,4.042857142857142,4.128571428571429,0.0
1964-01-01,3851.366,0.0,4.042857142857142,4.128571428571429,0.0
1964-01-31,3851.366,0.0,4.068636363636364,4.166818181818183,0.0
1964-02-29,3851.366,0.0,4.034444444444443,4.145555555555556,0.0
1964-03-31,3851.366,0.0,4.138571428571427,4.219523809523811,0.0
1964-04-01,3893.296,0.0,4.138571428571427,4.219523809523811,0.0
1964-04-30,3893.296,0.0,4.154545454545455,4.232272727272728,0.0
1964-05-31,3893.296,0.0,4.0495,4.199999999999999,0.0
1964-06-30,3893.296,0.0,4.018636363636363,4.170000000000002,0.0
1964-07-01,3954.121,0.0,4.018636363636363,4.170000000000002,0.0
1964-07-31,3954.121,0.0,4.026818181818181,4.1859090909090915,0.0
1964-08-31,3954.121,0.0,4.054285714285713,4.193809523809523,0.0
1964-09-30,3954.121,0.0,4.076190476190477,4.203809523809523,0.0
1964-10-01,3966.335,0.0,4.076190476190477,4.203809523809523,0.0
1964-10-31,3966.335,0.0,4.069523809523809,4.188095238095238,0.0
1964-11-30,3966.335,0.0,4.041666666666666,4.152777777777779,0.0
1964-12-31,3966.335,0.0,4.086363636363637,4.179545454545454,0.0
1965-01-01,4062.311,0.0,4.086363636363637,4.179545454545454,0.0
1965-01-31,4062.311,0.0,4.1025,4.1895,0.0
1965-02-28,4062.311,0.0,4.1466666666666665,4.211111111111111,0.0
1965-03-31,4062.311,0.0,4.149565217391304,4.210434782608695,0.0
1965-04-01,4113.629,0.0,4.149565217391304,4.210434782608695,0.0
1965-04-30,4113.629,0.0,4.1514285714285695,4.2038095238095226,0.0
1965-05-31,4113.629,0.0,4.1485,4.2115,0.0
1965-06-30,4113.629,0.0,4.1481818181818175,4.213181818181819,0.0
1965-07-01,4205.086,0.0,4.1481818181818175,4.213181818181819,0.0
1965-07-31,4205.086,0.0,4.150952380952382,4.204761904761906,0.0
1965-08-31,4205.086,0.0,4.203181818181818,4.252272727272726,0.0
1965-09-30,4205.086,0.0,4.2509523809523815,4.29047619047619,0.0
1965-10-01,4301.973,0.0,4.2509523809523815,4.29047619047619,0.0
1965-10-31,4301.973,0.0,4.339500000000001,4.3495,0.0
1965-11-30,4301.973,0.0,4.461052631578948,4.448947368421053,0.0
1965-12-31,4301.973,0.0,4.720454545454545,4.615454545454547,0.0
1966-01-01,4406.693,0.0,4.720454545454545,4.615454545454547,0.0
1966-01-31,4406.693,0.0,4.861428571428571,4.612380952380952,0.0
1966-02-28,4406.693,0.0,4.984210526315789,4.832105263157896,0.0
1966-03-31,4406.693,0.0,4.920434782608696,4.873478260869566,0.0
1966-04-01,4421.747,0.0,4.920434782608696,4.873478260869566,0.0
1966-04-30,4421.747,0.0,4.831,4.75,0.0
1966-05-31,4421.747,0.0,4.885714285714285,4.778571428571428,0.0
1966-06-30,4421.747,0.0,4.972272727272727,4.814545454545454,0.0
1966-07-01,4459.195,0.0,4.972272727272727,4.814545454545454,0.0
1966-07-31,4459.195,0.0,5.169500000000001,5.017999999999999,0.0
1966-08-31,4459.195,0.0,5.5034782608695645,5.224347826086958,0.0
1966-09-30,4459.195,0.0,5.495714285714285,5.182380952380952,0.0
1966-10-01,4495.777,0.0,5.495714285714285,5.182380952380952,0.0
1966-10-31,4495.777,0.0,5.2675,5.0115,0.0
1966-11-30,4495.777,0.0,5.363684210526316,5.155263157894738,0.0
1966-12-31,4495.777,0.0,5.003809523809524,4.8428571428571425,0.0
1967-01-01,4535.591,0.0,5.003809523809524,4.8428571428571425,0.0
1967-01-31,4535.591,0.0,4.703809523809523,4.579047619047619,0.0
1967-02-28,4535.591,0.0,4.736666666666667,4.626666666666667,0.0
1967-03-31,4535.591,0.0,4.537727272727273,4.541818181818181,0.0
1967-04-01,4538.37,0.0,4.537727272727273,4.541818181818181,0.0
1967-04-30,4538.37,0.0,4.505999999999999,4.593500000000001,0.0
1967-05-31,4538.37,0.0,4.748181818181817,4.847727272727273,0.0
1967-06-30,4538.37,0.0,5.013181818181819,5.0227272727272725,0.0
1967-07-01,4581.309,0.0,5.013181818181819,5.0227272727272725,0.0
1967-07-31,4581.309,0.0,5.225,5.159000000000001,0.0
1967-08-31,4581.309,0.0,5.312173913043479,5.275652173913043,0.0
1967-09-30,4581.309,0.0,5.398499999999999,5.3020000000000005,0.0
